C	area	de	hourly
	VARIABLES	BEGIN	END
	9	1	8736

C	hourly				BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
					MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	index	day	month	hour	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	368	16	JAN	07:00	39167	21766	0	0	0	0	39	27	0
	369	16	JAN	08:00	39167	20965	0	0	0	0	39	27	0
	370	16	JAN	09:00	39167	22184	0	0	0	0	39	27	0
	371	16	JAN	10:00	39167	22302	0	0	0	0	39	27	0
	372	16	JAN	11:00	39167	23674	0	0	0	0	39	27	0
	373	16	JAN	12:00	39167	24154	0	0	0	0	39	27	0
	374	16	JAN	13:00	39167	23671	0	0	0	0	39	27	0
	375	16	JAN	14:00	39167	25580	0	0	0	0	39	27	0
	376	16	JAN	15:00	39167	25281	841	0	0	0	39	27	1
	377	16	JAN	16:00	39167	26041	231	0	0	0	39	27	1
	378	16	JAN	17:00	39167	25778	459	0	0	0	39	27	1
	379	16	JAN	18:00	39167	26716	1060	0	0	0	39	27	1
	380	16	JAN	19:00	39167	26094	443	0	0	0	39	27	1
	381	16	JAN	20:00	39167	25659	415	0	0	0	39	27	1
	382	16	JAN	21:00	39167	25996	892	0	0	0	39	27	1
	383	16	JAN	22:00	39167	25543	186	0	0	0	39	27	0
	384	16	JAN	23:00	39167	24339	568	0	0	0	39	27	1
	385	17	JAN	00:00	39333	26638	383	0	0	0	39	27	1
	386	17	JAN	01:00	39333	26076	124	0	0	0	39	27	0
	387	17	JAN	02:00	39333	24999	414	0	0	0	39	27	0
	388	17	JAN	03:00	39333	24241	0	0	0	0	39	27	0
	389	17	JAN	04:00	39333	24262	440	0	0	0	39	27	1
	390	17	JAN	05:00	39333	23658	0	0	0	0	39	27	0
	391	17	JAN	06:00	39333	24001	0	0	0	0	39	27	0
	392	17	JAN	07:00	39333	22425	247	0	0	0	39	27	0
